--- N = 184 --- D = 0.60 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	61	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	45	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	608	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	19	184	0	1,-,	1	0.342	1
	13	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	506	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	52	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	13	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	20	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	507	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	9	184	0	1,-,	1	0.342	1
	10	184	0	0,-,	0	0.342	1
	9	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	60	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	11	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	10	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
--- N = 184 --- D = 0.68 ---
* * * Solver: GnB * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
	5	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	58	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	8	129	54	1,1,	1	0.369	1
	8	129	54	1,1,	1	0.369	1
	15	129	54	1,1,	1	0.369	1
	57	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	10	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	58	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	502	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	58	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	516	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	51	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	6	129	54	1,1,	1	0.369	1
	58	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	55	129	54	1,1,	1	0.369	1
	7	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	5	129	54	1,1,	1	0.369	1
	4	129	54	1,1,	1	0.369	1
--- N = 184 --- D = 0.72 ---
* * * Solver: RTS * * *
	us_sol	X1	X2	scs	SCS	estEng	CAP>=N
	10	184	0	1,-,	1	0.342	1
	12	184	0	1,-,	1	0.342	1
